,roles,companies,locations,skills,experience
217,Associate Data Scientist - CRM & Loyalty,Shell India Markets Private Limited,Bangalore/Bengaluru,"Direct Marketing
Multivariate Analysis
R
Data Scientist
Factor Analysis
Customer Analytics
Time Series
Market Basket Analysis",6-10 Yrs
218,Data Scientist - Business Analytics,Philips India Limited,Bangalore/Bengaluru,"Process automation
Cloud computing
Change management
Operational excellence
Business analytics
Analytical
Consulting
Data mining",6-10 Yrs
219,Data Scientist,Schneider Electric India Pvt. Ltd.,Bangalore/Bengaluru,"Computer science
Data analysis
Automation
Manager Quality Assurance
Artificial Intelligence
Analytical
MySQL
Machine learning",6-10 Yrs
220,DBCG IND - GAMMA Senior Data Scientist,Boston Consulting Group,"Mumbai, New Delhi, Chennai, Bangalore/Bengaluru","Computer science
advanced analytics
SDS
data science
Artificial Intelligence
Project management
Machine learning
Management consulting",6-10 Yrs
221,Senior Data Scientist/Senior Data Scientist,Bajaj Finserv,Pune,"Product management
Computer science
Analytical
OLAP
Scrum
OLTP
Financial services
SQL",6-10 Yrs
222,Senior Data Scientist,eClerx Services Ltd.,"Pune, Mumbai (All Areas)","Artificial Intelligence
Machine Learning
Python
Predictive Modeling
Text Analytics
Natural Language Processing
Hypothesis Testing
Database Design",6-10 Yrs
223,Senior Data Scientist | CES IT LTD | CMMI Level 5,CES Ltd.,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Analytical
Keras
Object Detection
tensorflow
PyTorch
OpenCV
algorithm
Python",6-10 Yrs
224,Data Scientist/Senior Data Scientist,GANIT BUSINESS SOLUTIONS PRIVATE LIMITED,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)","Predictive Modeling
Manufacturing Analytics
Python
Data Science
R
Data Quality
Algorithms
VBA",6-10 Yrs
225,Data Scientist,CronJ IT Technologies Private Limited,Bangalore/Bengaluru,"IT Skills
Python
Data Science
AWS
Tensorflow
Java
C++
C",6-10 Yrs
226,Staff Data Scientist,Walmart Global Tech India,Other,NA,6-10 Yrs
227,Hiring For Lead/Senior Data Scientist - Morningstar (Product Based),Morningstar,Mumbai (All Areas),"IT Skills
Python
Testing
Cloud
Oracle
AWS
Azure
Data Science",6-10 Yrs
